province,year,policy_name,category,level
天津,2019,天津港口岸电设施建设与使用推进方案,公共交通/港口岸电/物流绿色化,省/市
天津,2020,天津铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
天津,2021,《天津“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
天津,2021,《天津“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
天津,2022,天津电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
宁夏,2017,宁夏海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
宁夏,2021,《宁夏“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
宁夏,2021,宁夏黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
宁夏,2021,《宁夏“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
宁夏,2022,滩羊滩光伏治沙项目群（光伏+治沙）,清洁能源/生态治理/光伏治沙,省/市
宁夏,2022,宁夏电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
宁夏,2022,“光伏+治沙”生态治理与新能源一体化,清洁能源/生态治理/光伏治沙,省/市
安徽,2016,安徽海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
安徽,2017,宣城市被列为全国第三批低碳城市试点城市，并出台《宣城市低碳城市试点建设实施方案》。,城市低碳试点,省/市
安徽,2019,新能源汽车与充换电设施建设指导意见（省内）,绿色出行/充电基础设施,省/市
安徽,2020,安徽铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
安徽,2021,《安徽“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
安徽,2021,安徽黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
安徽,2021,《安徽“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
安徽,2022,安徽电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
山东,2015,山东海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
山东,2018,柴油货车污染治理攻坚与清洁运输,减污降碳/运输结构/非道路,省/市
山东,2019,山东港口岸电设施建设与使用推进方案,公共交通/港口岸电/物流绿色化,省/市
山东,2020,山东黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
山东,2020,山东铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
山东,2021,“十四五”可再生能源发展重点任务（省综合能源规划摘录）,清洁能源/风电/海上风电,省/市
山东,2021,《山东“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
山东,2021,《山东“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
山东,2022,山东电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
山东,2022,海上风电示范与多能互补一体化,清洁能源/海上风电/多能互补,省/市
山西,2017,清洁取暖与煤改电（气）推进方案,清洁能源/供暖/终端替代,省/市
山西,2021,《山西“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
山西,2021,《山西“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
山西,2022,山西电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
广东,2013,广东碳排放权交易试点启动,碳排放/碳交易/地方试点,省/市
广东,2015,广东海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
广东,2017,深圳实现公交车辆全电动化,绿色出行/公共交通/电动公交,省/市
广东,2019,广东港口岸电设施建设与使用推进方案,公共交通/港口岸电/物流绿色化,省/市
广东,2020,广东黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
广东,2020,广东铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
广东,2021,《广东省电动汽车充电基础设施发展“十四五”规划》,绿色出行/充电基础设施,省/市
广东,2021,《广东“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
广东,2021,《广东“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
广东,2022,广东电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
广东,2022,沿海核电与海上风电协同及送出工程,清洁能源/核电/海上风电/送出,省/市
广西,2016,广西海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
广西,2019,广西港口岸电设施建设与使用推进方案,公共交通/港口岸电/物流绿色化,省/市
广西,2020,广西铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
广西,2021,西部陆海新通道港口岸电与物流绿色化,公共交通/港口岸电/物流,省/市
广西,2021,《广西“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
广西,2021,广西黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
广西,2021,《广西“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
广西,2022,广西电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
新疆,2016,新疆海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
新疆,2021,《新疆“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
新疆,2021,新疆黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
新疆,2021,《新疆“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
新疆,2022,新疆电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
新疆,2023,三北地区大型风光基地开工与并网推进,清洁能源/风光/消纳,省/市
新疆,2024,“三北”风光大基地新项目核准与开工,清洁能源/风光/外送,省/市
江苏,2015,推进城市公共交通优先与公交都市创建（省内多市）,公共交通/公交优先,省/市
江苏,2015,江苏海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
江苏,2019,江苏港口岸电设施建设与使用推进方案,公共交通/港口岸电/物流绿色化,省/市
江苏,2020,江苏黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
江苏,2020,江苏铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
江苏,2021,《江苏“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
江苏,2021,《江苏“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
江苏,2022,江苏电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
江西,2015,江西海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
江西,2020,绿色出行创建试点城市推进（南昌等）,绿色出行/公共交通,省/市
江西,2021,《江西“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
江西,2021,江西黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
江西,2021,《江西“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
江西,2022,江西电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
河北,2013,《河北省大气污染防治行动计划（2013—2017年）》,减污降碳/产业结构调整/钢铁去产能,省/市
河北,2017,“绿领北京”生态廊道与海绵城市建设（京津冀协同）,城市绿化率/生态修复/区域协同,省/市
河北,2017,钢铁去产能与散煤治理专项行动,减污降碳/产业结构/终端替代,省/市
河北,2019,河北港口岸电设施建设与使用推进方案,公共交通/港口岸电/物流绿色化,省/市
河北,2020,河北铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
河北,2021,《河北“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
河北,2021,《河北“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
河北,2022,河北电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
河南,2016,河南海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
河南,2017,错峰生产与散乱污整治专项行动,减污降碳/控排/工业治理,省/市
河南,2020,河南铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
河南,2021,推进城镇绿化美化提升行动（含绿化覆盖率指标）,城市绿化率/生态修复,省/市
河南,2021,《河南“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
河南,2021,河南黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
河南,2021,《河南“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
河南,2022,河南电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
浙江,2016,浙江海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
浙江,2019,浙江港口岸电设施建设与使用推进方案,公共交通/港口岸电/物流绿色化,省/市
浙江,2020,《绿色出行创建行动实施方案》（浙江省）,绿色出行/创建行动/步行骑行,省/市
浙江,2020,浙江黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
浙江,2020,浙江铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
浙江,2021,《浙江“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
浙江,2021,《浙江“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
浙江,2022,浙江电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
海南,2017,海南海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
海南,2019,《清洁能源汽车发展规划（2019—2030年）》：2030年禁售燃油车,绿色出行/新能源汽车/禁燃时间表,省/市
海南,2019,海南港口岸电设施建设与使用推进方案,公共交通/港口岸电/物流绿色化,省/市
海南,2021,清洁能源岛建设（非化石能源占比目标）,清洁能源/电力/交通,省/市
海南,2021,《海南“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
海南,2021,海南黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
海南,2021,《海南“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
海南,2022,海南电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
湖北,2014,湖北碳排放权交易试点启动,碳排放/碳交易/地方试点,省/市
湖北,2015,湖北海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
湖北,2020,湖北黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
湖北,2020,湖北铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
湖北,2021,“十四五”新能源和储能产业发展规划,清洁能源/储能/新能源,省/市
湖北,2021,《湖北“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
湖北,2021,《湖北“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
湖北,2022,湖北电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
湖南,2016,湖南海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
湖南,2020,公共交通优先发展实施方案（省内地市）,公共交通/公交优先,省/市
湖南,2020,湖南黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
湖南,2020,湖南铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
湖南,2021,《湖南“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
湖南,2021,《湖南“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
湖南,2022,湖南电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
甘肃,2017,甘肃海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
甘肃,2021,酒泉风光大基地（新一轮扩建）,清洁能源/风电/光伏,省/市
甘肃,2021,《甘肃“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
甘肃,2021,甘肃黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
甘肃,2021,《甘肃“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
甘肃,2021,酒泉风光电基地新一轮扩建与消纳保障,清洁能源/风电/光伏,省/市
甘肃,2022,甘肃电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
福建,2015,福建海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
福建,2019,福建港口岸电设施建设与使用推进方案,公共交通/港口岸电/物流绿色化,省/市
福建,2020,福建黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
福建,2021,“十四五”海上风电与抽水蓄能布局（省能源发展）,清洁能源/海上风电/储能,省/市
福建,2021,《福建“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
福建,2021,《福建“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
福建,2021,海上风电基地布局与抽水蓄能配套,清洁能源/海上风电/储能,省/市
福建,2022,福建电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
西藏,2020,清洁取暖与可再生能源替代试点,清洁能源/供暖/可再生能源,省/市
西藏,2021,《西藏“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
西藏,2021,《西藏“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
西藏,2022,西藏电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
贵州,2016,贵州海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
贵州,2021,《贵州“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
贵州,2021,贵州黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
贵州,2021,《贵州“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
贵州,2022,新能源+算力中心拉动源网荷储一体化,清洁能源/数据中心/源网荷储,省/市
贵州,2022,贵州电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
辽宁,2019,辽宁港口岸电设施建设与使用推进方案,公共交通/港口岸电/物流绿色化,省/市
辽宁,2021,氢能与燃料电池汽车示范城市群（沈阳/大连）,清洁能源/绿色交通/氢能,省/市
辽宁,2021,《辽宁“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
辽宁,2021,《辽宁“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
辽宁,2022,辽宁电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
重庆,2020,公共交通都市创建与轨道交通延伸,公共交通/轨道/公交都市,省/市
重庆,2021,《重庆“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
重庆,2021,《重庆“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
重庆,2022,重庆电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
陕西,2016,陕西海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
陕西,2020,陕西铁路电气化与多式联运绿色物流行动计划,公共交通/铁路/物流,省/市
陕西,2021,《陕西“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
陕西,2021,陕西黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
陕西,2021,《陕西“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
陕西,2022,沙戈荒大型风光基地布局（陕北）,清洁能源/风光基地/UHV外送,省/市
陕西,2022,陕西电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
青海,2017,青海海绵城市建设试点与实施方案（第一阶段）,城市绿化率/水环境/海绵城市,省/市
青海,2021,海南州千万千瓦级光伏基地与外送通道,清洁能源/光伏/外送,省/市
青海,2021,《青海“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
青海,2021,青海黑臭水体治理与城市生态修复三年行动,生态修复/城市绿化/水环境,省/市
青海,2021,《青海“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
青海,2021,青海海南州大型光伏基地与外送通道建设,清洁能源/光伏/外送,省/市
青海,2022,青海电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
黑龙江,2021,《黑龙江“十四五”交通运输发展规划》：绿色出行与公共交通优先,绿色出行/公共交通/十四五,省/市
黑龙江,2021,《黑龙江“十四五”林业和草原保护发展规划》,森林绿化率/生态修复/十四五,省/市
黑龙江,2022,城市黑臭水体治理与海绵城市建设（多市）,生态修复/城市绿化/水环境,省/市
黑龙江,2022,黑龙江电动汽车充电基础设施建设行动计划（2022—2025年）,绿色出行/充电设施/新基建,省/市
